clean_text,category
Good man God loves you to take a good care of his wonderful creation,P
Thank you  OUTSTANDING,P
We do love the happy endings too,P
Thank you Ronda,P
Thanks for your interest  Generally the birds want to get far far away from Martin and back into the wild,P
Thank you we appreciate your interest and kind words,P
Thanks for watching,P
Thank you Dannell,P
Thank you Daphne we appreciate your interest and kind words,P
Thank you we appreciate your interest and kind words,P
Martin does what he can to soothe the critters when he has to work with them  it is very stressful for them,N
Thank you Lily,P
Thanks for watching,P
Southwest Wildlife Foundation of Utah  not working at the moment but getting ready to start back at the end of the month and Ill be donating I love animals and ur work is invaluable and I realize its not cheap Thanks again,P
I love birds,P
what a prince of a fellow you are no leather gloves ever before wild release should u introduce live mice into the birds enclosure to see if bird can capture live prey I hope to volunteer soon in next 2 weeks for any wildlife support I can give 4102019  thank youim AlbNM I will google SW wildlife foundation of Utah and click on  the link provided httpswwwyoutubecomwatchvdwRWKVbAbDI,P
Wait a sec sorry if I missed it what happened to the eagle I watched for 30 mins and perhaps I missed it or was it not addressed,N
What an interesting wonderful video of love in action The Bible says that a good man is kind to his animals you Sir and Maam are two GOOD people Thank you for caring so gently for GODS creatures,P
Such a beautiful and powerful creature  I cannot believe we nearly hunted them to extinction  Hats off to you sir,P
What a gorgeous animal,P
Im from northern Ontario and Ive never met anyone like you before You are an amazing gift to Gods creatures Thank You,P
Thank You so much for what you do You saved this eagles life,P
Im so happy that I found your channel This work is so important and its a gift to watch you and your team heal these beautiful animals,P
i cant help returning to this vid,P
Thank you for everything that you do  You are a great human being and thank you for sharing,P
Thanks for your interest,P
Thank you Nicholas we appreciate your interest,P
This eagle was released back to the wild,P
GowildlifeOrg  I there a second part to this video where we see it truly recover When we last see the eagle in THIS video its still quite lethargic,N
Thank you Donna we appreciate your interest,P
"We didnt so much hunt them to almost extinction but we did almost poison them to death in the 50s and 60s 

The USA government deemed a powerful pesticide to be harmless into our lands Farmers foresters and the US Govt used DDT a powerful poison to kill bugs in forests farmland and all over our homes and cities The USA became so contaminated with DDT that the fish in the streams and rivers began to die 

It was about this time that scientists connected the fish kill to this poison They also had a problem with the shells on bird eggs becoming to be so weak that just the bird setting on them caused them to break This problem was studied and it was found that the injestion of DDT killed the calcium the birds needed to make the shell hard and healthy 

Once the birds were not injesting DDT they recovered Those that didnt died or healthy birds had to be caught eggs had to be collected and hatched in rehab centers and zoos Then rehabed to be able to survive in the wild and released Scientists bird experts and zoologists all helped the birds recover Eagles raptors were listed on the endangered list and some species almost became extinct Alaska eagles were not harmed so much and the scientists biologists vets and bird experts kept monitoring the eagles nests and sent healthy chicks to the lower States to help them in the recovery of the eagles 

This is what was taught to us in school during that time period We learned to be patriotic in grade school We learned American history and to read a honest newspaper We went door to door collecting money in our neighborhoods and donated it to our local what was then called The Department of Fish and Game for their special programs for wildlife rehabilitation We got involved

If you want to do something for this cause why dont you present this video to your teachers and make it your class cause for a year Sounds like fun huh Help support this bird sanctuary I think that would be really something to be proud of",N
We like when they show that,P
GowildlifeOrg   Its counterintuitive that an animal trying to kill you is a good sign but Im fascinated with birds and counterintuitive things I love macaws and the show they put on wherever they go waked up with their congregation many times but they never stopped amazing me,P
Thanks for your interest and kind words  Greetings back to Northern Ontario,P
Thanks for watching,P
Thank you Emily were glad you found us too  Thanks for watching,P
Thanks John,P
Bless you and thank you for doing this,P
My heart is with you my bother Had a great horned owl with a similar situation You are kind and a fine manBest of luck my friend,P
Those times I wish YouTube had a love button  Awesome,P
Those birds are just so beautiful and MajesticThey always look pissed off tolol Thank you for everything you all are doing,P
"you did a great job
love you",P
Oh and to top it off the man toward the end of the video wearing a hat labeled with my favoritist bandKORNAAHH I love it,P
Oh youre so beautiful So proud thats our national bird,P
Heroic work  thank you SWF of Utah and all who work to rescue and rehab creatures injured or sickened by human encroachment and stupidity Bravo to all of you  what a creature this fine eagle is,P
You amazing  manmay alot of good karma and plentiful  funds come your way Australia  tries to do the same with our birds  of prey Much love and continued  blessings TracieSunbury  Victoria Australia,P
"Thank you for taking care of Our Brother His spirit will continue to carry the prayers of the community and the World 

Stay blessed",P
I hope you live more than you thinkGod bless you,P
Hehehe I hear you have budgies or some other type of bird there Twitters are very audible theyre making mine go crazy XD But This is such an inspiring video seriously good job your something really good keep it up,P
You are a real human with a very special heartyou are blessed I am a bird lover,P
"You are very welcome Remember one true fact That eagle will always remember you They are very smart and have goo memory Yours truly Is an 
animal lover Wild or domesticated animals It really doesnt matter You heart is a pot of gold
I know all about injured animsl My dad had several orchards that consists of orange lemon lime sweet lemon and very tall palm trees As a little boy I would wonder around the orchard and from time to time I would find injured foxes crows and other injured animals Being an animal lover I could not see them suffering Once that you find them under that condition you cannot ignore the fact that they are in need of help from their human friend You are an awesome man Do what you do best and god is watching you Good thing always come to those who have patient
In the end
May you have love happiness and peace of mind
Because really in the end everything else comes and goes

God bless 

Daniel Murphy",P
Thank you Donna we appreciate your interest,P
Thanks for watching,P
Thank you we appreciate your interest,P
Thanks Timothy,P
They just want to get back to the wild,N
Thank you we appreciate your interest,P
Thank you  We appreciate your interest,P
Thanks for your interest and concern,P
Thanks for your interest,P
Thank you Wayne we appreciate your interest all the way from Australia,P
Thanks for your interest,P
Thank you Jose,P
Thanks Eren we appreciate your interest  Quite a few other birds around yes,P
Hi Rick thanks for your interest  In this case around here Martin thinks it was most likely from target shooters who use rabbits as targets then leave the carcasses,P
GowildlifeOrg  I have heard of that you reminded me thank you very interesting stuff Have you heard of the wildlife center in San Rafael ca My sister worked there as a volunteer a long time ago i remember they had a real old bear there i cant remember his name They had a lot of rapters and a big barn owl This would have been in the 80s I live outside of petaluma ca in sonoma county i get to see a lot of animals the red tail hawks taking the pigeons theres ospreys in tomales bay i actually saw a red fox out there yrs ago the silver fox is more common here i think theres supposed to be coyotes out here i have never seen one we got ferrel pigs out here and of course the barn owls they fly so close but you cant hear them awsome It is beautiful here in northern california but your beauty is kinda more rugged some day im going to make it to utah You are doing a great work and i appreciate you all,P
Thank you Neville,P
The best 30 minutes for long time i enjoyed every Minute Good Job dude,P
I love that caregiver God bless you,P
Thank you,P
This video is my favorite  it seems this eagle has a personality thats very engaging  Martin  do you find these birds to have a range of individuality,P
Wow he looks fantastic Great job guys,P
you made my year thank you for this i hope you build your wildlife park and greetings from Portugal our eagles are much smaller  the american eagle is the most beautiful thing,P
i hope he hates you i hope he flies away from any of our mess poor sweet thing,N
Why would you put thumbs down  This man is doing the right thing by helping gods creatures We as humans are responsible for taking care of animals There a gift from god himself appreciate them,P
Thank you so very much for your kindness in helping these birds,P
Is he ok He leans to the left I surly hope he makes it,P
Awww he loves you showing him love,P
This is so nice of u and your wife to help themthank you so muchEagles are so beautiful Godbless,P
Thankyou for saving this beautiful bird GOD BLESS YOU  AND KEEP YOU,P
Every time I watch this video it makes me happy  Good job,P
Birds of prey are glorious and beautiful creatures and eagles are one of the most beautiful of all Awesome work rehabilitating that eagle the world needs more people like you,P
Wow such a beautiful animal,P
Great to hear glad you enjoyed,P
Thank you Daniel,P
Thanks for watching,P
Good to hear thanks Ulrike  Each bird does have a distinct personality  The tougher the better when it comes to survival in the wild,P
Thanks Jeni the eagle did the hard part,P
Good to hear thank you   We like eagles too,P
Thanks Todd we appreciate your interest,P
Thanks for watching were so glad this one recovered and is back in the wild where he belongs,P
Not really he is just too sick to protest,N
Thank you Tina we agree they are beautiful,P
Thanks for watching  We appreciate your interest,P
Good to hear thank you  We hope you will enjoy other videos weve shared as well,P
Thank you Jonathan,P
Thank you Brian we agree they are glorious,P
Thank you so much for what you do I absolutely love bald eagles I live in northern Michigan we have a group called Wings of wonder and they do the same thing and turn them loose love to watch,P
I felt your pain at the beginning of this video talking about how this majestic creature  may not survive  and you giving it the dignity of not videoing its progress  I felt so sad then seeing the progress it made and the trust these animals have in you    watching the release back into freedom I am in AWE  Thank You for what you do and on top of it all giving others the opportunity to release them You sir are truly are what Heros are made of  Thank You again for letting me experience the feelings I am having now as a tear runs down my cheek witnessing the beauty of saving that gorgeous birds life and returning it to its home  I only hope my mere words express how the work you do made me feel,N
What a gorgeous bird Thank you for all of your time and efforts May the gods shine down on you and yours in love,P
Mere words cant express the appreciation for the work you do I salute your work in the most sincerest way,P
Thank god for this man I wish the rest of the world would get on board and help our wildlifebefore its too late,P
What got me is my boy and using a net to get him free so complicated but an emotional turmoil,P
We sometimes get racing pigeons that turn up confused and we try and catch them take them to bird rescue I know its not the same but all animals deserve a chance to live a long life Its so sad they have to kill some that can not be returned to the wild,N
Wow So very cool God bless people like you,P
You guys are worth more than gold it self,P
Well worth Drawing,P
Higher souls at work,P
that eagle love you and you love him back i havent finished the vid yet but letting him go must have been traumatic for both of you,P
your awesome dude idk many people with tour patience and care i love birds its was great to see u save this lil guy,P
much respect Aho,P
"I admire your work Starting as a volunteer too What a great example and helping educate kids too The eagle was amazing
One thing  Im not sure its clear what you mean by human interaction  Or that it is harmful to the bird and to be avoided while it is held captive  There are moments when it seems you are petting and comforting the bird almost as one would a pet  Its particularly confusing from 1950  2022 where on your voiceover you state one thing while the video image shows another

From what I can see human contact even affection is not harmful while they are being treated I think animals have a sense of what is happening that they are being cared for And when its over they will put it behind them  Theyre  not going to come flying back for a scratch behind the neck You know that obviously Im sure you meant more in the sense of playing with them or spending more time than you have to etcbut that clip I referenced is almost humorous in the juxtaposition of narration and visuals",P
This Eagle Man is Amazing What a Great man Thank goodness this Eagle Improved This Video makes you feel So Good,P
I was pushing also while the other turtle was pushing So cool to watch,P
A wonderful man,P
Thats great to hear,P
Thank you Danielle were very glad you enjoyed this video education is very important to us,P
WowI never thought of this thanks for the info and what a shameI use too live in Fla I use to see them all over back in the 70s just by my house were like 3 familys of Eagles Nests in the woods around my house in Jacksonville fla and off of A1A Ponte Vedra by St Augustine Use too see them also in Orlando Fla when all those big woods were there now parking lots and MallsMakes me made what they do to the Earth take take take and no give back to Nature or GAIA GowildlifeOrg,P
Thank you Mollee,P
Thank you we appreciate your interest and support,P
Thank you Saptadji,P
Hi Jeremy thanks for your interest and concern  It is tough on them when injured and while in captivity  Much better healthy and in the wild where they belong,P
Hi Craig thanks for your interest in the critters  Life isnt easy in the wild,P
Thank you we appreciate your interest,P
Thank you,P
Thanks for watching,P
Hi Dawn thanks for watching  Martin definitely loves eagles,P
Thank you  We appreciate your interest,P
Thanks for watching,P
The birds recover best when left alone in a quiet place  There are times when Martin must disturb them to feed them or check on their condition  While he does this he tries to soothe them as much as possible as it is very stressful to them  Martin has a way with the critters but he still keeps as much distance as he can,N
Thank you Debi were glad this eagle recovered,P
Thank you Mick we like him okay,P
"Bless ur sweet soul  The Lord will bless u in return Ur a true earth angel  I was in the raise  release program for several  yrs The Lord has his hand upon on u Its  beautiful how he tries to communicate with with u I can only think 
Isaiah 4031 But they that wait upon the Lord shall renew their strength they shall mount up with wings as eagles they shall run and not be weary and they shall walk and not faint

Egeals fly above the storm
Bless u",P
Man your my idol,P
Nice story and nice bird i am strongly agree with you This beautiful birds should be roam free in wilderness Keep up the good work Sir Gbu Greeting from Indonesia,P
This gentleman is just amazing what an asset to the community thank you,P
U HAVE A GIFT  FROM GOD PEACE  TO U AND FAMILY,P
They are one of God greatest gift to the world There not a lot of eagleso teaching other about them is better then killing them I got to see a bold eagle in a cage on a school fold trip when I was a kid I felt sorry for all the animals even the bird that was kept in a cage They need unison herothe one that need  extra care Thank for what you do for all the wild animals,P
Thank you for caring sir,P
He chose you Theyre amazing creatures I filmed two fighting in a tree in middle of town Bradenton fl They allowed me to run in for the camera before flying off Very cool experience,P
What an amazing job you have Its horrible that that they get ill and need you but thankgod these amazing animals have you,P
Such a beauty,P
"Wow you are an amazing man that poor eagle didnt know how well off he was when he landed in your hands and you are right
We all need to support out fur friends out there and donate even if its just some time love your videos",P
"Wow  What a perfect picture of God loving his people in their perilous times  You are such a kind sweet gentle  
and  loving person  Watching you feed nuture and love this eagle spoke to my heart in a symbolic way Thank you so much for posting  God bless you",P
It always amazes me how large of a bird Bald Eagles are  Only ever see photos of them and rarely see them with something for size comparison  Good work with this one,P
You sir are a legend you have dedicated your life to these birds God bless,P
well done Sir,P
You are so gifted I loved this video And thanks to ur wife for encouraging u to film the process,P
This story has put the desire to thriveWe fight onwardThank you,P
Thank you Margaret,P
Thank you for watching and your kind feedback,P
Greetings Indonesia  Thank you for watching from so far away  Definitely best to see them return to the wild where they belong,P
Hi in this case in this area Martin thinks most likely from target shooters who use rabbits as targets and leave the carcasses,P
"GowildlifeOrg 
Theres also some chance of bioaccumulative lead or other toxic substances in the prey species Its a bit of a problem here in Michigan where a single source of contaminated foodwater manages to contaminate almost the entire surrounding ecosystem because we just cant get it out of the foodchain How isolated were the cases like this at the time
Once way back when I was little there way a cleanup up by where dad would go hunting Somebody was dumping garbage in the woods and the rain water was pulling everything from organic rot to plastic bits to car battery acid and lead into the local river Problems persisted for a while after the cleanup and nobody could figure out why Eventually they noticed that it was overwhelmingly predators and scavengers that were getting sick and dying from contamination they had long since removed They instituted a policy asking huntersnature goers to report any corpses they saw to the DNR for removal for a short period of time It worked most of the animals deemed dead from unnatural causes had metal poisoning and with them being removed from the food chain new cases dwindled down to near nothing",N
Thank you Edward we appreciate your interest and kind words,P
Thank you Ollie,P
Thank you for watching  It is definitely better to see them healthy in the wild,P
Thank you David we appreciate your interest,P
They are amazing,P
We dont rank well among the mice demographic,N
Thank you Donna  We agree wed much rather have no patients,P
Thanks for watching glad you enjoy our vids,P
Thank you for your interest and kind words,P
So much more fun to see them healthy in the wild,P
Thank you we appreciate your interest and kind words,P
Thanks for watching,P
Thank you Sandee,P
Thank you Gloria we appreciate your interest,P
Youre a gentleman and a scholar I commend you,P
Thank U Brother for what U Do  There needs to be More people like U,P
Sir you are amazing Thank you and God bless,P
What a magnificent animalWell done,P
Great job,P
A master of his craft huge respect sir very well done,P
The eagle eyes that have seen a lot of things Would love to have that vision,P
God bless you and your family sir,P
Thank you for your wonderful important work You have surely made a difference,P
What an incredible story what an incredible individual  Thank you  Laws need to change,P
boy ur the kind of person id love to get to know all about U  I DID THIS WITH COUNTLESS KITTENS ALL THE TIME its a 24 hr a day job and i still got my miracle babygirl chesh  most human kitty ull ever know    omgosh the  more i watch the more u act like me  and they think wer crazy,P
Youre awesome great video Thank you That eagle looked beautiful even from the beginning Got a little jealous seeing you hold him like that made me think of my African Grey Congo lol I know much smaller,P
Thanks great job,P
Ive always loved the American Bald Eagle but even more so ever since my son became an Eagle Scout a dozen years ago  The work you do is amazing  Watching him being released back into the wild was indescribable,P
Amazing,P
Excellent video with excellent comments by Martin to teach the importance of caring for wildlife and the need for education regarding care of wildlife  Worth the time to view the video Wished I lived in the area so I could help Thank you very much for all you do,P
Thank you Anthony,P
Thanks Wazzy,P
Thank you we appreciate your interest,P
Thanks for watching,P
GowildlifeOrg  Thank you,P
Thanks for watching,P
Thank you,P
Would be pretty amazing to see like an eagle,P
Thank you Gian,P
Thank you Bobbie we appreciate your interest,P
Thank you Pegge we appreciate your interest and concern,P
Thank you for your interest and kind words  And  thanks for your work with the kittens,P
Thank you Chris we appreciate your interest in the critters  Its much better to let go of healthy birds than hold sick ones,P
Thank you Eleanore,P
Thank you Lorraine were pretty fond of eagles and eagles scouts too,P
Thank you Elizabeth we appreciate your interest and concern  Your view helps too,P
Thank you  thank you  thank you for all the work you do  Its amazing,P
Thank you sir,P
God bless you thank you gracias,P
Youre a good man Thank you and your wife for a great video Such good work,P
Bless you good sir,P
omg he looks so beatiful and healthy now,P
Do we have any idea what the argument is for not banding rehabilitated birds  I think its lovely BTW that you let the dead eagles keep their dignity  its my theory that that deep respect is the reason why the birds react to you the way they do,P
God bless you Sir for treating the eagle Amman  Jordan,P
Southwest Wildlife Foundation of Utah  Wow Amazing work,P
But but but those poor mice  All killed just to feed the bird   Poor little miceys,N
You got caring and healing hands Thank you  for all you do God bless,P
Youre a saint its as simple as that,P
I would love to help you in your endeavors Unfortunately I dont have means or enough education The best I can do for you today is to like your video and subscribe Thank you for sharing this video of your kindness I do have saved injured wild animals though not an eagle Certainly you are right the professional help is required although the fox We rescued seemed to realize we were there to help her Its a great feeling when an animal is restored to its proper wild status otherwise our grandchildren might never know these animals,P
I feel your disappointment when you loose but remember that these birds much like most have incredible memories Each time you WIN You have created a memory of your kindness that will last that Eagles entire LIFETIME Is it worth it to your heart  mind    now you win Too,P
This is a beautiful clip thank you for posting,P
Thanks for watching,P
Videos are great for many reasons but consideration for the animals and Martin have to come first,P
Hi Suzanna thank you for your interest and concern,P
We are working hard on future plans,P
Thanks Jorge,P
Thank you Rafelito,P
Thank you Jerry we appreciate your interest and kind words,P
Thank you Steven,P
It has to do with their true counts of wild eagles  A rehabilitated eagle counts as a dead eagle as he would not have survived in the wild alone  However its a little odd since most injuries are from humans,N
Your tax dollars at work LOL  Thanks I always wondered about that,P
Thank you we appreciate your interest,P
Thank you Maria we appreciate your interest,P
Thank you we call him the Healer of Angels,P
We appreciate your interest your view and your kind words  That all helps too,P
Thank you Walter were glad this eagle is back in the wild,P
Thank you Jonathon we appreciate your interest,P
Thank you for all you do What a majestic bird,P
An amazing rescue I loved watching this Such a beautiful eagle Some laws are just stupid  Someone like you a professional should be able to rehabilitate with no time limit And you would know what else to do if necessary   Very lucky eagle,P
god bless you,P
fabulous video such a caring man he knows what its all about bigtime,P
This has to be one of the most amazing acts of love Ive seen,P
That eagle is like wtf hes supposed to be scared of my massive pointy killer beak,N
Its sad that people like this will die someday I wish there was a way to give terrible peoples life time and put it into good peoples life time span Thanks so much for the hard work,N
I know you do everything possible to save these beautiful birds But I believe the care you give to the ones you cant save makes their last days full of care and love instead of alone and in need,P
You n ur wife are wonderful ppl GOD BLESS you both n all ur eagles I learned so much from watching this video Thank you so much Keep up the work Youre a blessing for these animals n this world,P
just great  keep it going  it echoes in eternity,P
Excellent video excellent work you do and I hope your park takes flight it highly deserves too Good luck,P
Shucks He has a voracious appetite,P
Many thanks for your work,P
Thank you for watching,P
Thank you Linda we appreciate your interest and concern  Were glad this eagle is back in the wild,P
Thank you,P
Thank you we appreciate your interest  Martin has been working with the critters over 50 years,P
Thank you Dave we appreciate your interest and concern,P
It really varies  The good news is that we havent seen a single injured Bald Eagles this season,P
rejm1161  It does seem strange but they never know when or where their next meal be so they take all they can when they can,P
Thank you Mika Martin is in great health with no intention to stop,P
Thank you Melissa  Releases are best but not all days are as happy for sure,P
Thank you Maryann were glad you enjoyed and learned from this video  Always great to hear,P
Thank you Juergen were working on it,P
Thank you Chris we appreciate your interest and support,P
Thank you Imani we call him a healer of angels,P
Thank you thanks for watching,P
GowildlifeOrg  ok thanks for the heads up,P
The picture of him sitting in the pine tree was the most beautiful fuzzy outoffocus image I have ever seen  It literally made me tear up THANK YOU for all of your hard work and dedication,P
how does a bird get lead poisoning,N
Love peace and gratitude for all you do and all the people that help you,P
Yes less is in fact more NEVER PUT HUMAN VALUES ON ANIMALS EVER,N
Why not farm your own mice They do have a reputation for being prolific Or is this also regulated by states under the influence of private interest as in limitation of the competition,N
I only wish that would have been a live flight  But then Im at work and I would have cried  On my job,N
"OMGoodness  I KNOW THIS IS AN OLD VIDBUT WHEN YOU WENT IN WITH THAT NET THAT WAS SERIOUSLY THE SAME BIRD SIR OR MAAMOHPRAISE GODHE LOOOK TOTALLY DIFFERENTDANGEROUSLY BEAUTIFULTHOUGH HE WAS BEAUTIFUL WHEN YOU GOT HIM BUT TO SEE HIM WELLAND DESPISING YOULOL


MAY THE MOST HIGH ALWAYS BLESS YOUR HANDS AND HEART",P
"GOD is AwesomeI bore you on Eagles wings


What a beautiful symbol of not just the USA but OUR MOST HIGH GOD",P
That eagle wanted to live and he got great care to enable it In fact I remember at OWL when I went to see Grover he was in a large room with a perch and all the windows were one way windows so that he wouldnt get used to humans He was magnificent,P
I once rescued a baby bald eagle he was only 3 yrs old He had an injured foot that was infected He wasnt able to hunt and feed himself I brought him to OWL in Delta BC and he was treated He was never able to get his foot back to normal so he became an ambassador His name is Grover,N
Very Excellent,P
"How does a bird get lead poisoning
How do you treat
Chelation therapy",N
So awesome  God bless,P
It may look amazing the eagle let human handlecarry it But it was actually sad for a wild bird,N
you are a wonderful human being I love this work  These eagles are so beautiful and necessary in nature  thank GOD for people like you sir,P
Hi Nancy thanks for your interest  We usually do not track animals once they are released,P
GowildlifeOrg  The reason Im asking is because I live next to an unique nesting ground and it is next to a communication tower that is tampered with frequently and often causes a lot of problems with the environment  Including a Leap Day Tornado earthquake near Mt Carmel and a tornado near I64 due to electrical interference  Not to mention an incident at a nearby school on 9412  Any help would be appreciated as it affects peoples health and appliances in their homes making their water heater a ticking bomb,P
Hi thanks for your interest  There are a few ways in this case in this area Martin thinks most likely from target shooters who use rabbits as targets then leave the carcasses,P
Thank you Lisa  We appreciate your interest,P
Hi Christy thanks for your interest  You can learn more here httpswwwgowildlifeorgeaglefilm,P
Hi John thanks for your interest and concern  We do try to give them their space,P
We would like to eventually currently we dont really have the staff to care for them properly,N
Eagles are pretty amazing,P
Sorry about his foot but we hope Grover is doing well,N
Thank you,P
There are number of ways a bird could get lead poisoning  In this instance in this area Martin thinks it was most likely from target shooters who used rabbits as targets and left the carcasses,N
Thank you we appreciate your interest,P
Agreed awesome eagle,P
Agreed  Much better when they are healthy and can be left alone,P
Thank you Randy we appreciate your interest in the critters,P
Generally it is difficult to understand the reasoning within government bureaucracy  It is also not easy to track wild birds given the expense expertise need  and potential harm it could inflict on humans and wildlife in interactions,N
"Would certified Permaculture Designers fit in with your efforts
Make your land produce food and support wildlife",P
Eagles are majestic birds they are beautiful to watch in the wild They are in Colorado too I love to watch birds of prey really special they are I always thought Eagles as protected birds they are in Colorado Thank you for sharing your video Its awesome what you do for these birds Your an Angel for the Eagles Such a Blessing,P
Utah has beautiful wildlife,P
Euthanised WTF whoever wrote those laws should be Euthanised I wish i lived closer as id gladly volunteer as for fundsdue to benefit cuts im bloody poor and need ot go to a rescue center myself haha,N
Thank you,P
"rescuing FREEDOM good job sir

hawk echo noises",P
Thank you for the patience and love for what you do All creatures great and small deserve a chance Thank you again,P
What a gorgeous girl  The beautiful Golden Eagle gave me chills when you let her go  Thank you for caring for the raptors getting them healthy and telling people about them  Thank you and thank her,P
My son and husband noticed an eagle near our home and its just beautiful We were curious so I searched for Bald Eagles and this is the video we found Thank you so much for everything you do because the difference between the bird you took in and the one you released shows that you saved his life,P
Thanks for all you and  your group does for these magnificent birds My dream in is to study Falconery and hope to in NW Arkansas in the near future at Hobbs State Park  Im retired and an avid bird lover Thanks for your video and your diligent dedication to your work Sandra,P
God bless you and all people that respect and appreciate the majesty of these beautiful creatures,P
Amazing U know your Eagles Great work,P
Its too bad you cant raise your own mice that sure is expensive meal but totally worth it,N
God I hope those mice where dead,P
Thank you for caring for these magnificent birds  Your love and compassion are enormous  I will donate to support you  Much Love to you your family and all the supporters there,P
The most beautiful creature EVER,P
Its more about the consistent help and organization at this point  Definitely we appreciate expertise from all kinds of areas,P
Happy belated Birthday  Thank you for watching and caring about this eagle  Were glad the ending was happy and hes back in the wild where he belongs,P
Thanks Susan nice you can watch them in the wild  They are protected yes still many who arent aware though,P
Fortunately this one recovered and is back in the wild,P
Thanks Leo we appreciate your interest,P
Thanks for your interest,P
Thank you Bob we appreciate your interest and kind words,P
She was something for sure,P
Hi Melyssa glad you found us  Nice to have an eagle near your home,P
Thank you Sandra we wish the best in realizing your dream  Youre always welcome to contact us directly,P
Thank you Mila,P
Thank you we appreciate your interest,P
Hi Rachel thanks for your interest  Would definitely be preferred but we just dont have the resources at present,P
I really liked your video It was educational and really touched my heart Thank you for saving Gods beautiful creature   God bless you and your important work,P
bs1820  honstely i looked at the video out of the corner of my eye while he was feeding the eagle the mice i know people who raise mice from pups and they are actually very good pets i didnt want to know if they were alive which i thought they might be like the way people feed snakes which i hate,N
Thank you Linda we appreciate your interest and support,P
Hi Steven thanks for your interest and concern  Around here Martin thinks it was probably from people who shoot rabbits as targets and leave the carcasses,P
Beautiful work You two are awe inspiring It makes me want to be better I have subscribed and will donate,P
Great to see innocent sick animals helped back to health,P
"Just found your channel 
Watching you care for these magnificent birds brings tears to my eyes
Thank you for your dedication 
GODS BLESSING",P
Such a beautiful thing you did saving that Eagle and all the others over the years Your and your wife are blessed by God Im sure,P
I visited Zoo In Alaska last year they had 2 Eagles that were unable to be released back into the wild,P
Why dont they allow you to band rehabilitated animals Seeks like a huge waste of an excellent opportunity to gather scientific data about a particular subset of wildlife And that data could be used to better improve wildlife rehabilitation programs,N
Wow THANKS What a beautiful story It was so interesting to see your work saving this beautiful whiteheaded eagle which you told was leadintoxicated and very weak when you found it sitting and not wanting to move from its spot Against all the odds it recovered thanks to your intensive care The world still has great HOPE for future when I watch your engaging work In Sweden we have fantastic eagles too the problems are the same as in the US there are people who dont respect these magestic birds The American National bird and symbol  the white bald headed eagle is a handsome and beautiful bird Its touching to see you release your bird surrounded by people who came specially invited by you to free His Majesty recovered thanks to your long and intensive daily cares and feeding BEST WISHES FROM STOCKHOLM SWEDEN and TAKE CARE,P
AWESOME VIDEO,P
Awesome Sir Good job I wish there were more people out there like you,P
You are amazing,P
You did a fantastic job Great video,P
Wow He so beautiful You did a very amazing job with him,P
Do the birds ever come back and visit you,N
"Thanks for posting this awesome video  We have Bald eagles in our area here in Gresham Oregon  Had the unique experience last season of watching two males compete for a female  What a display in the sky  She made her choice and wow what they do and then free fall together  It seems that at the last second they part  Not sure where she nested but it was not long it seems and we saw junior learning to fly and then to hunt  It was great

Only sad thing now is their favorite trees and hunting grounds will now be turned into a strip mall and apartments  Audubon in our area could do nothing to stop it  This pair have been around here for 10 years  So have a pair of hawks raising several generations  We finally see that a couple of them returned to mate  Very sad to lose this small wetland area in suburbia to concrete  Not sure where our wonderful predators will go  But the mice and rat population will no doubt now explode unchecked  City planners just do not think about the ecosystem at all  We even have tree frogs and gardener snakes that the hawks and eagles catch that are more than 15 inches in length   

In the summer we can even hear the crickets too  What a shame for this  precious area that is smack dab in the middle of what used to be a suburban area now labeled URBAN center  It is like they forgot to develop the center of it  Apartment buildings ring around it  It is like a tiny Central Park  Too bad by next year it will be ruined  We have wild rabbits squirrels a resident coy wolf too  We have a couple of coyotes too  We have woodpeckers every spring all types of finches come up from the south to visit  Five different species of fly catcher birds too  We have a few brown bats in the area  We have some owls too  Finally as of this summer a peregrine family they had one chick

All of the 65 low income residents living here were so excited  None of us had ever seen one of these in person  I had my bird book and we identified it  We protested the condominiums and expensive boutiques  but poor people who listens to us  At least we can see these wonderful videos and hope others will help YOU rescue the Eagles in your State and keep them safe  God bless you  Michelle from Oregon land of the lost",P
"Exceedingly noble work and animal 
Seeing this inspires hope
Thank you",P
Great work with the wildlife I like how you stress they are not pets People need to realize they are wild for a reason Also note when people are feeding our squirrels and other residential wildlife human food that is not ok If its not in their diet dont let them eat it try and keep it away from them We are going to do some irreversible damage to our wildlife that will throw our whole ecosystem off if we keep feeding them human foods like donuts cookies etc Again Great Job And Thank you for what you do,P
Thank you we appreciate the interest and support,P
But a happy ending,P
Thank you Ludmila,P
Thank Daryl were glad this one recovered,P
Were glad you found us Thank you for your interest in the critters,P
THIS CUTE EAGLE CANT  BE DIENG ANY TIME SOON EATING 5 WHOLE MOUSESGOOD JOB VERY INTERESTING  INFORMATIVE  INFORMATION  ABOUT THESE MIGHTY ANIMALS,P
Thank you Joanne we appreciate your interest,P
We hope they are doing well,P
Hi Angelita thanks for your interest  Rehab animals get counted as dead animals,P
GowildlifeOrg  How come Theyre obviously not dead if released back into the wild,N
Thank you Christina we appreciate your interest in eagles  Greetings back to Sweden,P
GowildlifeOrg  THANK YOU Im so moved by your beautiful work helping eagles these gorgeous and majestic birds,P
Thank you,P
A whole lot of people help us care for the critters,P
Thank you  We appreciate your interest in the critters,P
Thank you,P
Thank you Evelyn,P
